country,year,"Death rate, crude (per 1,000 people)",GDP (current US$),GDP per capita (current US$),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),"Population, female (% of total population)","Population, total",Rural population,Rural population (% of total population)
Nauru,2004,8.523,30587565.7988334,3040.51349889,62.229,55.046,58.072,37.1272365805,61.3966202783,1.4761431412,48.4294234592,10060.0,0.0,0.0
New Zealand,2004,6.95,103905210084.034,25420.234882944,81.7,77.5,79.5487804878,21.8323222314,66.2920012571,11.8756765115,50.9835302483,4087500.0,560764.0,13.719
OECD members,2004,7.8945122423,35639094671180.0,28793.3649320856,80.9200357795,74.9993635205,77.8945955409,20.0854471024,66.6388156241,13.2757372735,50.7505472631,1237753724.0,283422880.0,22.8981642394
Oman,2004,2.896,28378933680.104,11800.8507411171,77.401,72.267,74.329,33.2194787055,64.25779715,2.5227241445,42.3044792107,2404821.0,677510.0,28.173
Other small states,2004,8.9283040733,90029266147.266,8042.0611486821,70.2288051076,65.5176624809,67.7546903154,29.5013031966,63.4840979415,7.0145988619,49.4097655924,11194800.0,5033716.0,44.9647646666
Pakistan,2004,8.177,132216048339.413,771.902247349,64.409,61.881,63.052,41.8116784209,54.6436848312,3.5446367479,48.4850145371,171286000.0,113423876.0,66.219
Panama,2004,4.541,15100203400.0,4644.5658235304,78.466,72.749,75.544,30.9749198323,63.6352717166,5.3898084511,49.7808162886,3251155.0,1190345.0,36.613
Peru,2004,5.838,66768703497.5687,2397.2514727771,74.737,70.689,72.668,32.3000363706,62.2977008271,5.4022628023,49.9070593731,27852190.0,7062201.0,25.356
Philippines,2004,5.556,95001999685.33139,1099.6301302376,71.752,68.344,70.037,37.6399606528,59.2205960276,3.1394433196,49.7704292651,86394504.0,46830141.0,54.205
Palau,2004,6.9,166391600.0,8395.1362260343,74.51333333333334,66.65666666666667,70.48918699186667,24.2198733634,70.2757246285,5.504402008,46.0824378185,19820.0,5870.0,29.617
Papua New Guinea,2004,7.559,3927157866.9646497,620.5961476806,64.021,59.974,61.761,39.0139855289,58.3741556036,2.6118588675,47.9647176749,6328041.0,5497359.0,86.873
Poland,2004,9.5,256268656145.134,6711.7271526297,79.2,70.7,74.8463414634,16.9753082538,69.9649875554,13.0597041908,51.6061907213,38182222.0,14675719.0,38.436
Pre-demographic dividend,2004,13.1109668673,419814821844.775,663.7961430318,54.8017412127,51.8455659488,53.311306724,45.3648492858,51.8247788881,2.8103718261,50.266409635,632445407.0,417177700.0,65.9626416369
Puerto Rico,2004,7.46,80322313000.0,20988.9923326534,81.236,73.065,77.143,22.2567899993,64.5864794566,13.1567305441,51.926734087,3826878.0,223184.0,5.832
Portugal,2004,9.7,189382122532.169,18064.1580932987,81.0,74.5,77.6707317073,16.012316697,66.9462847049,17.0413985981,51.8284470338,10483861.0,4517810.0,43.093
Paraguay,2004,5.539,9624440836.29309,1786.2153393854,73.815,67.46,70.481,36.5538179953,59.173306284,4.2728757207,49.5096483521,5388175.0,2300481.0,42.695
Palestinian Territory,2004,4.1,4603100000.0,1422.1908864354,73.595,68.795,71.182,45.5844485641,51.8703720889,2.545179347,49.834411312,3236626.0,878906.0,27.155
Pacific island small states,2004,6.2642692317,4876586123.90704,2272.9316053363,70.0227027681,65.6185679325,67.6823201838,36.9843175167,59.2802456292,3.7354368542,49.0955991016,2145505.0,1386856.0,64.6401321316
Post-demographic dividend,2004,8.908898423,34000501261865.6,32637.935974592,81.4295747314,75.4063357775,78.3339258423,17.4673316999,67.491190656,15.0414776441,50.9089670616,1041747900.0,229523093.0,22.0324986163
French Polynesia,2004,2.588,5564109981.9138,21764.2203208782,82.344,77.264,79.696,29.2072488598,65.8855327904,4.9072183498,49.1754480665,255654.0,110363.0,43.169
Qatar,2004,2.077,31734065934.065895,41035.5008380177,77.736,75.078,75.961,22.2037739265,76.6403196555,1.155906418,31.9101861682,773332.0,22504.0,2.91
Romania,2004,12.1,74973656851.8076,3494.9905644895,75.3,68.0,71.5609756098,16.3647264716,68.9316033909,14.7036701374,51.9780274152,21451748.0,10073097.0,46.957
Russian Federation,2004,15.9,591016690732.385,4102.3647460938,72.36,58.91,65.4709756098,15.581081736,70.9556288937,13.4632893704,53.5348099402,144067316.0,38295974.0,26.582
Rwanda,2004,11.546,2376496067.01198,269.5404463334,56.236,54.666,55.491,43.3304901011,54.1125517312,2.5569581676,52.2750603589,8816844.0,7326092.0,83.092
South Asia,2004,7.945692844,941600860447.8547,619.1495059714,65.9104564768,63.3053832777,64.5475422117,35.2992154896,60.3093328951,4.3914516153,48.4853294815,1520797241.0,1084147692.0,71.2881154029
Saudi Arabia,2004,2.966,258742133333.333,13154.4978989446,75.953,72.728,74.153,34.4614372114,63.257536549,2.2810262396,42.0380711641,19669480.0,3785588.0,19.246
Sudan,2004,10.325,26646007250.731895,705.1133422852,60.569,53.371,56.773,45.48990617,51.7429977651,2.7670960649,50.129829405,30556637.0,20562478.0,67.293
Senegal,2004,9.444,10076816666.6196,918.1020795222,61.136,58.86,60.027,43.0763282667,53.5395472792,3.3841244542,50.5894656051,10975704.0,6442080.0,58.694
Singapore,2004,4.4,115033593101.049,27608.080013423,82.0,77.1,79.4902439024,17.8099306995,75.3779476091,6.8121216914,49.4687938558,4166664.0,0.0,0.0
Solomon Islands,2004,5.854,468005318.551977,986.0819040266,70.073,65.927,67.801,41.6929864668,54.8966416708,3.4103718624,48.5399622006,474611.0,391967.0,82.587
Sierra Leone,2004,17.491,2237350963.27352,417.750034827,48.235,46.881,47.577,43.8803939678,52.7118173637,3.4077886684,50.5392648641,5355717.0,3395739.0,63.404
El Salvador,2004,6.408,13724810900.0,2285.6890743889,74.968,65.574,70.34,35.407077257,58.7825128138,5.8104099292,52.0789232249,6004671.0,2335397.0,38.893
Somalia,2004,15.711,3859592813.1025505,375.4103262254,52.071,49.034,50.538,47.8764318406,49.5695310903,2.5540370692,49.991829587,10280998.0,6628057.0,64.469
Serbia,2004,14.0,26845632341.807495,3597.0879805701,75.5,70.0,72.6829268293,15.3729241733,67.440599135,17.1864766918,52.600457768,7463157.0,3458352.0,46.339
Sub-Saharan Africa,2004,13.3333076659,697598887827.385,919.6228068599,54.1545372789,51.4951423314,52.8329492005,44.3159537844,52.7026242018,2.9814220138,50.449520203,758570669.0,506764227.0,66.8051433191
South Sudan,2004,14.651,14080606755.7446,1375.87731816095,51.819,49.925,50.917,45.7760504883,51.7489669974,2.4749825143,51.0070522205,7233041.0,6001760.0,82.977
Sub-Saharan Africa (excluding high income),2004,13.3326408993,698496039334.0908,920.705390676,54.1568646127,51.4971295394,52.8351047527,44.3139103963,52.7041934025,2.9818962012,50.4493137339,758653144.0,506804320.0,66.8031654989
Small states,2004,8.3140161096,115194366114.688,7165.836777065,70.5585082321,65.6557819953,67.9867040762,30.7473808898,62.8017917709,6.4508273392,49.495576773,16075494.0,7892708.0,49.0977672291
São Tomé and Principe,2004,8.151,114582283.916382,726.5608821304,65.923,61.62,63.731,42.1039282204,53.8353254494,4.0607463302,50.2710757427,157705.0,66280.0,42.028
Suriname,2004,8.494,1484092538.40527,2887.7721728844,69.832,63.428,66.416,31.0138872944,63.3942244266,5.591888279,49.1641743997,513923.0,170946.0,33.263
Slovak Republic,2004,9.7,57215475076.2986,10650.1290097126,77.8,70.3,73.9585365854,17.3386593121,71.04769618,11.6136445079,51.4104529376,5372280.0,2379222.0,44.287
Slovenia,2004,9.3,34156553313.403095,17103.8297783905,81.1,73.5,77.2073170732,14.5012527934,70.4565986722,15.0421485344,51.0762731334,1997012.0,972385.0,48.692
Sweden,2004,10.1,384547211147.2471,42758.2015503417,82.7,78.4,80.4975609756,17.6933109038,65.0942590116,17.2124300845,50.4460735653,8993531.0,1415762.0,15.742
Eswatini,2004,18.372,2770082791.50412,2581.2417279304,43.95,41.054,42.538,41.3942115727,56.0515059052,2.5542825221,52.0753215507,1073159.0,835283.0,77.834
Sint Maarten (Dutch part),2004,4.171,1244899878.5549343,32449.088680005592,76.478,72.086,74.24,24.5503313348,72.0889870622,3.360681603,51.6583041434,31690.0,0.0,0.0
Seychelles,2004,7.2,893012218.1818179,10827.671636033,76.4,69.1,72.6609756098,25.5196782957,67.1370476034,7.3432741009,48.5502972004,82475.0,40093.0,48.612
Syrian Arab Republic,2004,3.986,25086950495.049496,1368.1148230028,74.752,70.406,72.475,39.6281738199,56.9544389912,3.4173871889,49.5652448959,18336875.0,8541866.0,46.583
Turks and Caicos Islands,2004,3.763,485598800.0,21246.00980049,80.457,73.728,76.786,25.7831641582,69.7738011901,4.4430346517,48.7355617781,22856.0,2928.0,12.812
Chad,2004,16.982,4422855660.82592,445.8507671571,49.313,47.158,48.232,48.6746015841,48.7428674654,2.5825309505,50.2292330391,9920036.0,7760643.0,78.232
East Asia & Pacific (IDA & IBRD countries),2004,6.6268830954,2680312289369.41,1441.454268444,74.6411845375,69.6264990566,72.0505377118,23.9839870207,69.0495337812,6.9664791981,49.2414412431,1859450104.0,1101542929.0,59.2402521787
Europe & Central Asia (IDA & IBRD countries),2004,11.637355185,1629859985841.11,3719.9861544854,74.1063289452,64.4168562996,69.1134570077,20.3284912153,68.2350881408,11.4364206439,52.2205146815,438136035.5,156563164.5,35.8832008843
Togo,2004,11.304,3191561508.69088,560.2663085334,56.123,54.999,55.569,42.0355768832,55.2135536367,2.75086948,50.0506801711,5696508.0,3718453.0,65.276
Thailand,2004,6.419,172895685154.658,2641.5626871786,76.996,69.33,73.08,22.551980689,70.245499732,7.202519579,50.5327533993,65452047.0,41778696.0,63.831
Tajikistan,2004,6.289,2076176869.41089,305.7451585875,68.534,63.685,66.028,39.2562439562,57.1179359423,3.6258201015,51.9020267295,6790547.0,4990509.0,73.492
Turkmenistan,2004,6.741,6838351088.46688,1379.2300968269,69.806,62.418,66.075,34.0247853358,61.7910454685,4.1841691957,50.7680271427,4958093.0,2637111.0,53.188
Latin America & Caribbean (IDA & IBRD countries),2004,5.9306313684,2264847326541.43,4252.7839723429,75.4850146563,69.0655570145,72.2210589737,30.6555460585,63.5416026887,5.8028512528,50.4938353044,532556401.0,124111712.0,23.3048954851
Timor-Leste,2004,9.065,440772000.0,474.4207673447,63.319,60.129,61.628,42.0430450104,55.3524261792,2.6045288104,48.620777247,929074.0,690209.0,74.29
Middle East & North Africa (IDA & IBRD countries),2004,5.6169078371,597696919007.892,1943.5066907031,71.9407401404,67.375225485,69.5980872523,33.8950476748,61.9679438772,4.137008448,49.3133993106,307535303.0,134200730.0,43.6375040518
Tonga,2004,6.648,230677994.61423296,2195.448740511,73.113,66.625,69.67,38.2003597567,56.1877206841,5.6119195592,49.5436419183,105071.0,80771.0,76.873
South Asia (IDA & IBRD),2004,7.945692844,941600860447.8547,619.1495059714,65.9104564768,63.3053832777,64.5475422117,35.2992154896,60.3093328951,4.3914516153,48.4853294815,1520797241.0,1084147692.0,71.2881154029
Sub-Saharan Africa (IDA & IBRD countries),2004,13.3326408993,698496039334.092,920.705390676,54.1568646127,51.4971295394,52.8351047527,44.3139103963,52.7041934025,2.9818962012,50.4493137339,758653144.0,506804320.0,66.8031654989
Trinidad and Tobago,2004,6.493,13280291989.5755,9871.0341982009,74.489,67.722,71.076,22.6900206633,72.1178031486,5.1921761881,50.4684178448,1345380.0,603336.0,44.845
Tunisia,2004,4.939,31183885241.4396,3067.4193637697,77.29,71.859,74.49,26.729081562,67.2318897503,6.0390286876,49.7027934728,10166163.0,3563240.0,35.05
Turkey,2004,5.367,408865430220.33093,5960.7789890905,76.564,69.996,73.24,28.2947558336,65.2407532432,6.4644909233,49.8150901576,68592617.0,22481230.0,32.775
Tuvalu,2004,9.957,22798274.9795551,2322.5626507289,66.327,61.087,63.693,35.5032599837,58.8223308883,5.674409128,50.3463732681,9816.0,5038.0,51.322
Tanzania,2004,11.275,16673062473.3981,450.3852844238,56.744,54.433,55.596,44.715402077,52.5459083959,2.738689527,50.4342349444,38109668.0,28878363.0,75.777
Uganda,2004,12.571,7939487547.77384,292.3818579626,52.832,50.182,51.547,50.0817746146,47.5991580037,2.3190673816,50.7906327916,27154515.0,22672119.0,83.493
Ukraine,2004,16.0,67220154164.3166,1401.0180664062,74.05,62.6,68.1853658537,15.1400119132,69.7912472276,15.0687408592,53.4473645175,47979507.0,15546800.0,32.403
Uruguay,2004,9.133,13686329890.1191,4168.6606543839,80.263,71.683,76.007,23.7313888578,62.7153821143,13.5532290279,51.4951660708,3283148.0,227260.0,6.922
United States,2004,8.2,12217196000000.0,41724.6411982614,80.1,75.0,77.487804878,20.5479906522,67.3410104276,12.1109989202,50.2262616468,292805298.0,59272576.0,20.243
Uzbekistan,2004,5.0,12030023547.8807,462.1714928679,70.548,64.302,67.401,33.1095839888,61.9167132487,4.9737027625,49.7443674258,26029350.0,13521206.0,51.946
Saint Vincent and the Grenadines,2004,6.649,549900185.185185,4873.4894774244,75.555,70.711,73.035,29.0261400547,63.4925488215,7.4813111238,48.6586608765,112835.0,60191.0,53.344
"Venezuela, Bolivarian Republic of",2004,5.217,112451400424.964,4269.0897087239,76.319,68.95,72.514,32.2328545508,62.7530301048,5.0141153444,50.0003492676,26340838.0,3179866.0,12.072
Virgin Islands (U.S.),2004,5.8,3797000000.0,35006.3614404514,81.0,74.7,77.7731707317,23.803142779,66.0614181918,10.1354390293,52.2297955209,108466.0,7093.0,6.539
Viet Nam,2004,5.835,45427854693.2554,565.4522845862,77.919,68.348,73.135,28.483702956,65.3361009233,6.1801961206,51.1463035791,80338971.0,58902123.0,73.317
Vanuatu,2004,5.718,364996869.129618,1774.3186758589,71.872,67.257,69.313,40.7005459115,56.4527419535,2.846712135,48.1646581855,205711.0,158790.0,77.191
World,2004,8.2142180288,44151098975077.9,6800.1902991936,71.2794780795,66.5329673343,68.824873694,28.8495261293,63.9725046673,7.1779692035,49.7083044801,6492626975.5,3341173130.5,51.4757508888
Samoa,2004,5.088,407747565.09695894,2189.2604260799,74.694,69.036,71.696,39.9119992913,55.4133321879,4.6746685208,48.5065691628,186249.0,146286.0,78.543
Yemen,2004,6.662,13867634371.4773,627.6320233958,66.849,63.138,65.006,47.0950627552,50.1412786303,2.7636586145,49.4897639832,22095167.0,15822349.0,71.61
South Africa,2004,12.947,255806908594.57297,5221.4633373172,55.721,51.891,54.043,31.6292074038,63.3477631048,5.0230294915,52.2826598559,48991421.0,20089912.0,41.007
Zambia,2004,13.45,6221110219.45542,548.6859745663,50.457,48.397,49.487,47.2732395395,50.6065029028,2.1202575577,51.3287163155,11338198.0,7207692.0,63.57
Zimbabwe,2004,16.989,5805598400.0,469.4846535989,45.49,43.499,44.502,41.6805341077,55.0633007103,3.256165182,52.5520350487,12365896.0,8125136.0,65.706
Aruba,2005,6.839,2360017318.43575,24171.8371325422,76.56,70.965,73.811,21.7605858007,70.1082457816,8.1311684177,52.0969967102,97635.0,53821.0,55.125
Africa Eastern and Southern,2005,12.2337341366,516661066397.69696,1115.7139555665,55.7288671724,52.677640322,54.222949971,44.2116638816,52.8155186075,2.9728175109,50.7465090467,463076637.0,322389344.0,69.6190046607
Afghanistan,2005,9.941,6203256538.70967,254.1842491493,59.697,57.013,58.361,50.0495665422,47.6806841113,2.2697493465,49.6624648027,24404567.0,18863998.0,77.297
Africa Western and Central,2005,14.0035127943,313327532014.413,989.699738832,53.3543262064,51.2668616991,52.3080634426,44.3128012408,52.7057786613,2.9814200979,49.9631869091,316588476.0,194865339.0,61.5516206345
Angola,2005,14.497,36970900883.8109,1916.4684221863,53.634,49.508,51.57,45.1862188384,52.0638895726,2.7498915889,50.8265054654,19291161.0,8488111.0,44.0
Albania,2005,6.306,8052077248.14638,2673.7878158353,79.493,74.033,76.621,25.8703792619,65.1705422249,8.9590785132,50.9059187123,3011487.0,1604189.0,53.269
Arab World,2005,6.197346379,1210020765397.36,3750.50855449,70.2970466223,65.9579263561,68.0313106882,36.4000945621,59.9711089649,3.628796473,48.5512715347,322628451.0,148882908.0,46.1468628037
United Arab Emirates,2005,1.563,180617467964.602,38719.3138307623,79.033,75.417,76.683,17.4833593795,80.7422842186,1.7743564019,31.0224254468,4664790.0,827440.0,17.738
Argentina,2005,7.423,198737095012.282,5067.6534229328,78.527,71.692,75.139,26.938727353,63.0960471662,9.9652254808,50.679303431,39216789.0,3909522.0,9.969
Armenia,2005,8.914,4900469511.10191,1557.4845890865,75.781,67.596,71.792,21.2332658429,67.6501512964,11.1165828608,53.6242619788,3146400.0,1134655.0,36.062
Antigua and Barbuda,2005,6.015,1143714814.81481,14366.2912765172,78.369,73.07,75.825,25.8866606792,67.0056085567,7.1077307642,52.8293828742,79611.0,56350.0,70.782
Australia,2005,6.4,695692898676.56,34479.7679298388,83.3,78.5,80.8414634146,19.7637363639,67.3512687434,12.8849948927,50.3394615977,20176844.0,3110866.0,15.418
Austria,2005,9.1,313952317330.776,38157.37022862,82.2,76.6,79.3317073171,16.013886883,67.7734463884,16.2126667286,51.3915562186,8227829.0,3388796.0,41.187
Azerbaijan,2005,6.2,13245421880.834,1578.3673303067,70.947,64.154,67.562,25.1393469166,68.2989835817,6.5616695017,52.3990523015,8391850.0,3995444.0,47.611
Burundi,2005,12.841,1117113079.73645,147.2346192942,54.6,51.387,53.023,45.7664249162,51.8906332807,2.3429418031,50.6539283611,7587299.0,6875990.0,90.625
Belgium,2005,9.9,385714762230.03906,36809.7013403619,81.9,76.2,78.9804878049,17.1343269282,65.6454734618,17.22019961,51.0655331111,10478617.0,272130.0,2.597
Benin,2005,11.337,6567654954.38903,779.4377777533,58.504,55.703,57.125,44.5712798506,52.3634625971,3.0652575523,50.402562596,8426144.0,5009932.0,59.457
Burkina Faso,2005,13.499,6146353173.34929,441.164148016,54.617,51.479,53.092,45.4655028001,51.7689568284,2.7655403715,50.4523000226,13932123.0,10931562.0,78.463
Bangladesh,2005,6.425,69476001239.419,480.0858507545,68.817,66.005,67.299,35.739115911,60.5359621928,3.7249218962,49.6236188082,144715786.0,105918931.0,73.191
Bulgaria,2005,14.8,29868657858.0082,3899.8259633288,76.3,69.0,72.5609756098,13.6699900371,68.9928895194,17.3371204435,51.3547607039,7658972.0,2252963.0,29.416
Bahrain,2005,2.308,15968723404.2553,17966.1657837625,78.723,75.617,76.931,23.742660336,74.1130747884,2.1442648756,38.9049788602,888822.0,102908.0,11.578
Bahamas,2005,5.818,9836200000.0,28602.4181869995,76.028,69.434,72.765,25.8892274945,66.2259300831,7.8848424224,50.9279022024,343894.0,61151.0,17.782
Bosnia and Herzegovina,2005,9.242,11222796336.5426,2739.6107686606,78.332,72.36,75.42,16.862850736,69.6500518858,13.4870973782,52.1879568694,4096493.0,2295470.0,56.035
Belarus,2005,14.5,30210091836.8294,3126.0717666525,75.1,62.9,68.8512195122,15.5310000265,69.7655996219,14.7034003516,53.3779217236,9663915.0,2671686.0,27.646
Belize,2005,5.51,1474950000.0,5272.7441720796,71.829,67.177,69.376,37.9270404908,58.1037820331,3.9691774762,49.7163346215,279731.0,152976.0,54.687
Bermuda,2005,7.1,4868136000.0,77628.103522508,81.545,74.349,77.927,18.6785412448,69.084371163,12.2370875923,50.3133421569,62711.0,0.0,0.0
Bolivia,2005,8.554,9549122905.328522,1020.1232620074,66.676,62.252,64.386,36.3444139406,58.2815902587,5.3739958007,49.446401433,9360754.0,3353958.0,35.83
Brazil,2005,6.106,891633839853.105,4827.7817305247,75.402,68.252,71.753,27.1166426496,67.1082522336,5.7751051169,50.4180518353,184688101.0,31703559.0,17.166
Barbados,2005,9.218,3819500000.0,14214.4202213572,76.942,72.652,74.89,21.0263261706,67.6488429734,11.324830856,52.052607487,268706.0,180460.0,67.159
Brunei Darussalam,2005,3.438,10547202612.4295,29386.2703597208,77.089,72.756,74.731,26.6628217505,70.2482896392,3.0888886103,46.3474638842,358916.0,96322.0,26.837
Bhutan,2005,7.473,860391000.221655,1299.9493857836,67.463,64.427,65.805,33.2242729074,62.0835350989,4.6921919937,46.2057274433,661865.0,456919.0,69.035
Botswana,2005,12.568,9918907108.097021,5391.0707661963,54.383,50.783,52.61,35.4761215016,61.1046281898,3.4192503086,50.787471119,1839877.0,810576.0,44.056
Central African Republic,2005,16.367,1337894378.73743,311.9500231387,47.287,45.625,46.433,45.0533895121,52.7749244225,2.1716860654,49.795257892,4288810.0,2656103.0,61.931
Canada,2005,7.1,1173108598778.68,36383.6600068095,82.52,77.82,80.1126829268,17.7072452727,69.246107288,13.0466474393,50.4518980216,32242732.0,6409210.0,19.878
Central Europe and the Baltics,2005,11.3449858605,885828738649.2169,8353.5720008782,77.9540501458,69.9441842994,73.8449951359,15.8317089874,69.6573327488,14.5109582638,51.8330151415,106041911.0,40611197.0,38.2973077758
Switzerland,2005,8.2,418284865884.998,56242.8933645639,83.9,78.7,81.2365853659,16.1393779158,68.0075198239,15.8531022604,51.0344904608,7437115.0,1972472.0,26.522
Channel Islands,2005,8.3044248257,8827272727.27273,57647.1188908006,82.472,78.073,80.344,16.6095241827,68.3698392174,15.0206365999,51.1745306122,153126.0,106050.0,69.257
Chile,2005,5.301,122294145162.835,7480.3233099645,81.078,74.912,78.016,24.0937067007,66.8165157915,9.0897775078,50.2721181975,16348778.0,2160818.0,13.217
China,2005,6.51,2285961149879.85,1753.4141916054,76.819,71.619,74.111,20.2944682439,71.8159033508,7.8896284053,48.8719927554,1303720000.0,749352182.0,57.478
Côte d'Ivoire,2005,13.117,24036918703.1747,1197.7461697942,52.899,50.822,51.824,46.3287375226,51.3868741531,2.2843883243,49.8108773479,20068458.0,10990692.0,54.766
Cameroon,2005,12.408,19509852206.9341,1142.6246625211,55.679,53.047,54.362,44.0761783267,52.7519805156,3.1718411577,50.2566151793,17074594.0,8786415.0,51.459
Congo (Kinshasa),2005,13.136,11964484465.9388,203.5616688607,55.454,52.387,53.927,45.8772617937,51.086675248,3.0360629583,50.5047883374,58775724.0,36745995.0,62.519
Congo (Brazzaville),2005,9.831,6650001680.48544,1799.0515836615,58.747,57.452,58.126,41.1478297897,55.8680854552,2.9840847551,50.1140165561,3696393.0,1442037.0,39.012
Colombia,2005,5.072,145600529605.803,3456.0661087451,76.766,69.513,73.081,30.3831671488,64.6275282213,4.9893046299,50.4373949179,42128977.0,10100844.0,23.976
Comoros,2005,9.997,653845169.168576,1103.206584984,61.431,57.895,59.604,45.0295860983,50.9007435753,4.0696703263,50.388912698,592677.0,427468.0,72.125
Cape Verde,2005,5.151,972241676.907662,2004.1468041756,76.223,68.753,72.68,36.9332664077,57.9805221643,5.086211428,50.2767385053,485115.0,205257.0,42.311
Costa Rica,2005,4.078,20040642476.9817,4703.0072178478,80.862,76.231,78.505,27.7064187889,65.9298232439,6.3637579672,50.4092589033,4261240.0,1462798.0,34.328
Caribbean small states,2005,7.3132185414,22215175058.842495,8063.6605132544,72.6637057776,66.5709265176,69.5151852428,30.5364764103,63.1237157765,6.3398078132,50.191688431,2754974.0,1484859.0,53.8974032557
Cuba,2005,7.806,42643836100.0,3786.3379922529,79.453,74.818,77.047,19.3518539401,69.4932827847,11.1548632752,50.0447500629,11262554.0,2687921.0,23.866
Curaçao,2005,8.49,2344637262.5698295,17032.3356620744,76.602,70.674,73.5657073171,23.6400705822,66.1417062645,10.2182231533,53.9167156821,137658.0,13031.0,9.466
Cayman Islands,2005,3.8,5047127841.8447,82848.08103266988,84.2,80.1,82.1,19.1087363078,75.4784931873,5.4127705049,50.8378216637,46788.0,0.0,0.0
Cyprus,2005,6.889,18433412510.881695,24959.26171875,80.287,75.953,78.101,19.9214593619,69.7420213164,10.3365193217,49.2807515507,1036151.0,328791.0,31.732
Czech Republic,2005,10.6,137264185596.1,13442.4916284309,79.1,72.9,75.9243902439,14.7095677812,71.232848929,14.0575832897,51.1356299853,10211216.0,2695557.0,26.398
Germany,2005,10.1,2893393187361.87,35084.4363546269,81.8,76.2,78.9317073171,14.493186904,66.6481280445,18.8586850514,51.3788800602,82469422.0,19809155.0,24.02
Djibouti,2005,9.988,708633194.726566,844.4483573908,60.184,56.492,58.316,38.4263799697,58.2058755885,3.3677444418,50.2532868905,839167.0,195014.0,23.239
Dominica,2005,9.837,364255555.555556,5299.495963505,75.529,69.308,72.254,26.8220471524,62.8563530687,10.3215997789,50.1767658398,68734.0,22956.0,33.399
Denmark,2005,10.1,265150087711.98495,48925.8076698784,80.2,75.6,77.843902439,18.7654631022,66.1417096184,15.0928272794,50.5196828891,5419432.0,766524.0,14.144
Dominican Republic,2005,5.933,35777560683.9366,3878.3120673524,73.407,68.555,70.875,33.2110429078,62.0635490341,4.7254080581,50.0197018265,9225034.0,3010129.0,32.63
Algeria,2005,4.943,107046618669.707,3233.1333963421,73.075,71.069,72.061,28.9916210422,66.250126966,4.7582519918,48.6215151355,33109249.0,11975615.0,36.17
East Asia & Pacific,2005,6.6242822157,3108469305951.51,1637.024099487,75.1976391918,70.0570352641,72.5473995933,23.2597004742,69.6315156106,7.1087839152,49.261750215,1898853723.0,1098704769.0,57.8614747792
Early-demographic dividend,2005,7.4618477906,4895441112536.11,1787.409549471,67.9586876844,64.5178177929,66.1864849673,34.1409370424,61.2527697907,4.6062931669,49.1054563593,2738846905.0,1642612271.0,59.9745924717
East Asia & Pacific (excluding high income),2005,6.6911610486,10413111385434.0,4878.3110755033,76.1801091007,70.8458822315,73.4312728198,22.473559628,69.4798471712,8.0465932008,49.3804000219,2134573057.0,1135905111.0,53.2146279838
Europe & Central Asia,2005,9.3134563814,796696338766.086,3566.8689963387,74.1903621144,66.173943806,70.0781927624,24.2167448513,66.4424992869,9.3407558617,51.5207339025,223360134.5,88923475.5,40.1384664914
Europe & Central Asia (excluding high income),2005,10.699761619,16824448818821.7,19219.8862771614,78.1375300959,70.4692987724,74.1798344826,18.07538426,67.6195716138,14.3050441262,51.7643109461,875366720.5,264764112.5,30.3090385462
Ecuador,2005,4.78,40278849000.0,2909.0260601439,77.534,71.574,74.514,33.4694143594,61.3079364048,5.2226492358,50.0206483212,13846163.0,5301557.0,38.289
Egypt,2005,6.206,89600665557.40428,1104.8034073339,71.226,66.38,68.779,34.5913851732,61.432474137,3.9761406898,49.285924993,81101004.0,46205675.0,56.973
Euro area,2005,9.4609892483,10611825457676.7,31800.4430333572,82.5048310911,76.3939772675,79.3706124652,15.7958963867,66.7798052542,17.4242983591,51.3111565865,333700554.0,87182939.0,26.1260996273
Eritrea,2005,8.908,1098424685.66169,412.7530791994,62.375,58.783,60.597,42.9435319851,53.6818621723,3.3746058426,50.9764340636,2661215.0,1833604.0,68.901
Spain,2005,8.8,1154667551775.88,26450.9530130382,83.5,77.0,80.1707317073,14.505742127,68.9483832449,16.5458746281,50.6101269541,43653155.0,9925418.0,22.737
Estonia,2005,12.8,14109491356.7964,10414.6381183565,78.1,67.3,72.5682926829,15.2054013459,68.0711297766,16.7234688775,53.5136044781,1354775.0,423570.0,31.265
Ethiopia,2005,12.226,12401139453.9738,158.2434580825,55.338,52.728,54.008,47.434454963,49.9314138256,2.6341312114,49.9042089785,78367470.0,66063777.0,84.3
European Union,2005,9.849499721,11954464169720.8,27444.1812267616,81.5462735778,75.1636122135,78.27139627,15.8675812911,67.3544163743,16.7780023347,51.3659020742,435591941.0,122401866.0,28.100121943
Fragile and conflict affected situations,2005,12.1940610592,755161140843.538,1074.7498887164,59.1633086375,54.9759903232,57.0094631599,41.2655130055,54.7553722844,3.9791147101,50.2894851734,702638957.0,430722014.0,61.4596677698
Finland,2005,9.1,204859368790.661,39049.8703780223,82.3,75.5,78.8170731707,17.3604320329,66.7043709953,15.9351969718,51.0629265803,5246096.0,896820.0,17.095
Fiji,2005,6.885,2980403844.72096,3377.6912695349,68.666,64.776,66.632,32.237281259,63.8426345142,3.9200842268,49.4039409369,882379.0,442328.0,50.129
