country,year,"Death rate, crude (per 1,000 people)",GDP (current US$),GDP per capita (current US$),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),"Population, female (% of total population)","Population, total",Rural population,Rural population (% of total population)
Dominican Republic,1991,5.92,9824483339.94518,1345.8467369062,70.427,64.903,67.625,38.7138206756,57.7048469332,3.5813323912,49.8817989897,7299853.0,3248654.0,44.503
Algeria,1991,5.629,45715676428.2766,1759.1120164823,69.007,66.378,67.688,41.4101085975,55.3413176176,3.2485737849,48.4783145651,25987928.0,12247851.0,47.129
East Asia & Pacific,1991,6.9364585875,723516368886.755,445.104313423,69.6254630765,65.1812447371,67.3653945473,30.7741568469,64.163066948,5.062776205,49.3615924066,1625498444.0,1155136395.0,71.0635189547
Early-demographic dividend,1991,9.525112546,2032922714756.6897,971.7127799113,62.6431673391,59.7511577148,61.1357178509,39.4322407759,56.6611122495,3.9066469746,49.0518056322,2092102478.0,1354900099.0,64.7626068293
East Asia & Pacific (excluding high income),1991,6.858764999,5415422203781.87,2936.4778173592,70.8974437239,66.1874272422,68.4985516005,29.5527499462,64.7807829261,5.6664671277,49.4341087512,1844189720.0,1203968546.0,65.2844190502
Europe & Central Asia,1991,8.9469069649,345019442258.66693,1641.6277144256,72.1458431702,64.1921319167,68.0808639633,30.3972878194,62.26827996,7.3344322206,51.4979900704,210169114.0,90081367.0,43.2742817256
Europe & Central Asia (excluding high income),1991,10.2445435007,9140433958636.447,10763.970217085,76.1489023948,68.3675137926,72.1558851102,22.5379273343,65.7358417196,11.7262309461,51.7378726076,849169384.0,273675951.0,32.3049540575
Ecuador,1991,5.627,16988535267.6338,1587.3604999667,72.822,66.55,69.625,38.3890014002,57.8556518337,3.7553467661,49.9846202433,10702380.0,4740191.0,44.291
Egypt,1991,7.834,37387836490.5284,622.8296050079,66.504,62.912,64.755,40.6681804073,55.4589912983,3.8728282944,49.376054886,60028997.0,34009428.0,56.655
Euro area,1991,10.0063294367,6127707302272.43,19305.4650158921,79.5937871622,72.5043955724,75.9601405089,18.1644395464,67.5715240804,14.2640363732,51.4096614674,317407910.0,91772226.0,28.9130235764
